"id","name","number_servings","calories","carbs","fats","proteins","category","image"
"1","Tofu Parmigiana","4","285.51","17.86","16.33","17.49","11","https://storage.googleapis.com/image-food/images/35000_jennmrqz_1f34ea4c-0c54-4322-a12f-3a9726a51e45.png"
"2","Easy Bacon and Cheese Quiche","6","442.71","23.85","30.25","18.71","2","https://storage.googleapis.com/image-food/images/35004_erin_m_c93b8c8b-b132-4bd6-9f9b-3b83bd062950.png"
"3","Seaweed Salad","6","76.31","8.39","4.73","0.95","7","https://storage.googleapis.com/image-food/images/34971_tabitharwheeler_bb3ae6ef-b5ec-4551-9f70-6a54ce5a64d1.jpg"
"4","Stuffed Mini Peppers with Spinach Dip","6","116.38","8.26","8.12","3.79","1","https://storage.googleapis.com/image-food/images/36079_simmyras_45731429-e387-4886-b8d0-80468a82af4a.png"
"5","Fennel Pork Chops","4","206.72","6.51","4.46","24.46","5","https://storage.googleapis.com/image-food/images/36694_Kaleido91_73929b7b-af8f-4ad4-b084-ca7e4315bc15.png"
"6","Tofu and Broccoli Pad See Ew","6","456.77","67","13.62","16.35","11","https://storage.googleapis.com/image-food/images/34182_rosierainbows_0a3e826e-150e-4289-842f-7a30d0a210b8.png"
"7","Basic Tomato Gazpacho","8","91.38","9.92","5.62","2.11","10","https://storage.googleapis.com/image-food/images/34098_erin_m_21c307a6-d677-4e5c-8fad-722b1734c5da.png"
"8","Pepperoni Pizza Soup","4","314.79","17","19.68","17.06","10",NULL
"9","Corn Fritters Southern Style","10","528.61","20.99","48.41","6.62","1","https://storage.googleapis.com/image-food/images/36586_HillOK444_9098a554-e3fb-402f-9d5f-f941461f0f96.png"
"10","Cola Sauerkraut","12","87.06","4.78","7.71","0.33","1",NULL
"11","Apple Pie Ham","10","390.87","21.02","15.17","40.56","11","https://storage.googleapis.com/image-food/images/36589_redathena_29b41588-d0ea-4cd6-80d6-482734c1efbc.png"
"12","Apricot Glazed Pork Roast","8","516.55","53.97","10.03","53.38","5","https://storage.googleapis.com/image-food/images/36637_erin_m_aaa8f7ea-c26b-419d-a740-a7cdbe82a3c1.png"
"13","Chocolate Cornflake Cakes","15","92.01","12.69","4.96","0.73","3","https://storage.googleapis.com/image-food/images/36636_tabitharwheeler_66ffb1c0-9895-45c2-ae8d-eadd7dd19d56.jpg"
"14","Apricot Chicken Thighs","4","418.59","42.91","19.16","20.14","5","https://storage.googleapis.com/image-food/images/36632_erin_m_ff6419bc-ca0d-40d1-9b68-ab365529f7c4.png"
"15","Cucumber-Watermelon Salad","10","49.69","11.81","0.18","0.88","7","https://storage.googleapis.com/image-food/images/36620_tabitharwheeler_46580724-1de0-4bd7-a8c5-e27104e0642e.jpg"
"16","Fried Corn and Onions","4","189.94","30.49","7.72","5.17","1","https://storage.googleapis.com/image-food/images/36626_elm333_c04b84b7-ca24-4b7e-9aec-2753f17a8693.jpg"
"17","Sugared Spiced Nuts","4","1066.94","81.39","76.89","29.48","1","https://storage.googleapis.com/image-food/images/45081_Shamarie84_9631840a-a0f5-4438-8a32-5076dbfc8ae4.png"
"18","Chilled Corn Soup","1","548.63","76.23","27.89","12.28","10",NULL
"19","Sugar-and-Spice Candied Nuts","2","1076.42","72.75","82.54","28.6","1","https://storage.googleapis.com/image-food/images/45180_Shamarie84_64aa4bae-ed68-456b-8320-d35acfbe8b2a.png"
"20","Carrot Puree","2","114.88","10.17","7.93","2.06","11","https://storage.googleapis.com/image-food/images/45166_Shamarie84_b92466b4-f10c-4245-9c44-63d432675d2c.png"
"21","Sausage on a Bed of Quinoa","2","710.79","68.18","33.16","34.89","5",NULL
"22","Tuna Macaroni Goulash","2","332.55","53.8","3.47","24.94","9","https://storage.googleapis.com/image-food/images/34719_KateRies_aa17704e-fb68-47f9-a68a-7b9679e6527e.jpg"
"23","Cream Cheese Jalapeno Hamburgers","8","616.19","25.5","45.79","25.31","8","https://storage.googleapis.com/image-food/images/36606_simmyras_ca95dbbd-01bd-43a7-b684-d9056d13fa63.png"
"24","Creamed Spinach","6","86.03","7.79","5.14","4.22","1","https://storage.googleapis.com/image-food/images/36613_erin_m_cfe2e51a-5d24-421a-8e17-660cf594ec34.png"
"25","Corned Beef Roast","8","751.68","31.02","46.65","49.28","1","https://storage.googleapis.com/image-food/images/36593_simmyras_d56aa76f-1096-43a0-802f-d5d9af27462b.png"
"26","Easy Fried Eggplant","4","357.44","45.88","13.63","13.04","1","https://storage.googleapis.com/image-food/images/36660_simmyras_def17aba-d325-4fe8-b05d-2afd8acb7a8a.png"
"27","Easy Pork Tenderloin","6","416.92","13.7","24.42","34.02","5","https://storage.googleapis.com/image-food/images/36646_erin_m_b7ab2d0d-ec3c-4780-a54a-9e6f2c02b2be.png"
"28","Sauteed Bananas with Cardamom Praline Sauce","4","386.19","45.15","23.92","2.66","11","https://storage.googleapis.com/image-food/images/45113_simmyras_0f8d18c2-3366-4cd8-bc86-ba19aaf12b1a.png"
"29","Roasted Halibut with Garlic Sauce","4","292.99","3.52","13.87","37.16","5","https://storage.googleapis.com/image-food/images/45192_erin_m_61c8d287-3b98-469f-bef0-fe1f7eca4759.png"
"30","Crisp Potato Galettes","1","407.89","64.46","14.36","7.47","1","https://storage.googleapis.com/image-food/images/45203_saraharmlyexol_697ae088-9cf9-4121-a5ea-bc30fd4cae9c.png"
"31","Scallops with Hazelnuts and Browned Butter Vinaigrette","2","529.99","15.82","38.68","30.92","5",NULL
"32","Peppery Pasta Carbonara with Poached Egg","1","756.62","86.73","29.12","34.48","9","https://storage.googleapis.com/image-food/images/45270_simmyras_7a40facc-615d-4a81-ad86-719581424b3a.png"
"33","Grilled Pork Chops with Garlic Lime Sauce","4","671.92","1.6","45.01","61.92","5","https://storage.googleapis.com/image-food/images/45234_erin_m_0291a8f6-44d1-4fbf-81a8-29b4643eb121.png"
"34","Baked Halibut with Orzo, Spinach, and Cherry Tomatoes","2","1037.35","91.69","34.48","94.84","5",NULL
"35","Butternut Squash Soup with Chestnuts","6","162.57","24.6","7.35","2.44","10","https://storage.googleapis.com/image-food/images/45481_TopFit_f22621b8-812a-4ada-87a4-5ef8b39d9c95.png"
"36","Mama's Best Broiled Tomato Sandwich","2","404.83","38.87","23.04","12.17","8","https://storage.googleapis.com/image-food/images/57083_erin_m_2471dfbb-970d-4a9e-b96f-6b7440504b16.png"
"37","Grilled Sausages with Figs and Mixed Greens","4","718.44","31.83","52.62","30.54","5","https://storage.googleapis.com/image-food/images/57088_simmyras_f4285ecf-c360-4bae-b795-d77520fb8448.png"
"38","Potato Dumplings II","6","108.78","14.72","3.76","4.69","1","https://storage.googleapis.com/image-food/images/57082_erin_m_1e02986b-78e0-4f49-8dab-9de4cc1ee1ea.png"
"39","Rich and Creamy Tomato Basil Soup","4","468.25","14.11","46.02","4.44","10","https://storage.googleapis.com/image-food/images/57084_erin_m_6e0cab76-996c-4a90-9349-ed72508793a3.png"
"40","Reuben Sandwich","1","529.25","35.32","28.78","31.2","8","https://storage.googleapis.com/image-food/images/224472_tabitharwheeler_ebb2c092-f149-48cc-83bf-9292196e0e43.jpg"
"41","Fluffy Whole Wheat Biscuits","12","122.93","18.07","4.6","3.27","2","https://storage.googleapis.com/image-food/images/224327_simmyras_2583f2d8-51c3-4332-a3f0-b31f436da5e7.png"
"42","Grilled Salmon with Lime Butter Sauce","6","701.1","1.15","40.38","78.84","5","https://storage.googleapis.com/image-food/images/45402_erin_m_935a9dd9-ddfb-41f2-8b9c-ffe06184abae.png"
"43","Creamy Mushrooms","4","166.5","8.37","13.32","5.1","11","https://storage.googleapis.com/image-food/images/45298_erin_m_115d9361-68cf-4bdc-8501-b8a64f9a2b0f.png"
